City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
35,adamstown,-25.066,-130.1015,22.38,83,95,5.18,PN,1698623562
36,mafeteng,-29.823,27.2374,6.35,59,4,1.58,LS,1698623564
37,maroua,10.591,14.3159,27.55,53,15,1.92,CM,1698623567
38,meadow lakes,61.6247,-149.6011,8.31,48,100,2.57,US,1698623570
39,bredasdorp,-34.5322,20.0403,12.7,58,0,7.58,ZA,1698623573
40,constantia,44.1833,28.65,11.38,69,0,3.18,RO,1698623576
41,whitehorse,60.7161,-135.0538,-1.06,87,75,6.71,CA,1698623578
42,kapa'a,22.0752,-159.319,29.18,71,40,4.63,US,1698623482
43,ratnagiri,16.9833,73.3,24.94,54,61,1.95,IN,1698623584
44,west island,-12.1568,96.8225,25.99,83,75,6.69,CC,1698623586
45,iqaluit,63.7506,-68.5145,-9.15,72,100,4.12,CA,1698623589
46,invercargill,-46.4,168.35,16.68,51,8,1.34,NZ,1698623591
47,albany,42.6001,-73.9662,6.88,93,100,1.55,US,1698623320
48,isafjordur,66.0755,-23.124,1.08,80,27,1.58,IS,1698623596
49,naze,28.3667,129.4833,20.51,69,12,3.47,JP,1698623457
50,udachny,66.4167,112.4,-21.42,76,89,1.78,RU,1698623600
51,kununurra,-15.7667,128.7333,28.99,65,81,2.57,AU,1698623510
52,fort bragg,35.139,-79.006,24.91,66,0,1.54,US,1698623605
53,qaqortoq,60.7167,-46.0333,4.83,69,100,5.1,GL,1698623607
54,longyearbyen,78.2186,15.6401,-6.09,93,40,5.14,SJ,1698623610
55,birjand,32.8663,59.2211,15.26,36,0,5.14,IR,1698623612
56,puerto natales,-51.7236,-72.4875,2.71,78,89,3.16,CL,1698623482
57,bandarbeyla,9.4942,50.8122,25.96,81,87,3.72,SO,1698623617
58,olonkinbyen,70.9221,-8.7187,0.35,69,100,1.27,SJ,1698623619
59,tawau,4.2498,117.8871,25.07,94,53,1.68,MY,1698623621
60,papatowai,-46.5619,169.4708,14.55,53,8,4.69,NZ,1698623624
61,college,64.8569,-147.8028,0.5,79,75,0.0,US,1698623626
62,lompoc,34.6391,-120.4579,25.08,32,0,5.66,US,1698623629
63,pandan,14.0453,124.1694,27.69,81,70,6.03,PH,1698623631
64,aykhal,66.0,111.5,-25.17,99,56,1.48,RU,1698623362
65,ribeira brava,32.65,-17.0667,21.35,77,81,1.63,PT,1698623636
66,guangming,45.3333,122.7833,7.22,20,35,5.73,CN,1698623638
67,utrik,11.2278,169.8474,28.03,80,24,9.42,MH,1698623640
68,hawaiian paradise park,19.5933,-154.9731,27.8,77,100,3.6,US,1698623643
69,sanctuary point,-35.1114,150.629,22.08,33,90,3.88,AU,1698623645
70,greymouth,-42.4667,171.2,16.02,44,84,3.33,NZ,1698623648
71,diu,20.7141,70.9822,24.84,42,88,2.92,IN,1698623650
72,blackmans bay,-43.0167,147.3167,16.07,59,89,3.72,AU,1698623652
73,cabo san lucas,22.8909,-109.9124,27.61,69,0,5.66,MX,1698623402
74,stanley,54.868,-1.6985,7.62,93,75,4.12,GB,1698623658
75,argayash,55.4888,60.8767,-0.74,98,100,3.32,RU,1698623660
76,geraldton,-28.7667,114.6,18.23,72,38,8.75,AU,1698623506
77,kavieng,-2.5744,150.7967,25.25,91,100,6.86,PG,1698623665
78,lebu,-37.6167,-73.65,8.3,63,43,3.35,CL,1698623667
79,vernon,50.2581,-119.2691,7.34,48,47,1.03,CA,1698623670
80,edinburgh of the seven seas,-37.0676,-12.3116,10.96,66,48,11.86,SH,1698623672
81,aasiaat,68.7098,-52.8699,-5.12,77,100,1.77,GL,1698623676
82,ola,59.5833,151.2833,-0.88,63,16,1.85,RU,1698623679
83,villa gesell,-37.2639,-56.973,15.59,62,100,6.59,AR,1698623681
84,buka,40.8108,69.1986,17.9,39,27,2.74,UZ,1698623683
85,itamaraca,-7.7478,-34.8256,27.03,74,89,5.23,BR,1698623686
86,skovorodino,53.9833,123.9167,-5.52,61,100,3.35,RU,1698623406
87,dudinka,69.4058,86.1778,-19.66,99,76,0.78,RU,1698623691
88,penza,53.2007,45.0046,4.03,90,100,6.71,RU,1698623668
89,guarapari,-20.6667,-40.4975,24.25,77,100,7.87,BR,1698623695
90,port alfred,-33.5906,26.891,15.02,64,99,7.47,ZA,1698623698
91,sesheke,-17.4759,24.2968,23.06,60,97,2.18,ZM,1698623700
92,anadyr,64.75,177.4833,-1.72,92,75,7.0,RU,1698623702
93,ushuaia,-54.8,-68.3,-0.19,93,100,8.94,AR,1698623705
94,chhatarpur,24.9,79.6,19.32,45,15,1.73,IN,1698623707
95,thompson,55.7435,-97.8558,-2.91,68,75,5.14,CA,1698623710
96,vila franca do campo,37.7167,-25.4333,15.23,99,78,1.87,PT,1698623712
97,kolonia town,6.964,158.206,27.06,94,100,2.57,FM,1698623714
98,remire-montjoly,4.9167,-52.2667,28.02,83,0,2.06,GF,1698623719
99,margaret river,-33.95,115.0667,13.06,62,94,4.09,AU,1698623721
100,la ronge,55.1001,-105.2842,-0.86,59,100,6.17,CA,1698623724
101,alice,27.7523,-98.0697,28.69,63,10,6.05,US,1698623726
102,kapuskasing,49.4169,-82.4331,-0.95,80,75,2.57,CA,1698623466
103,beau vallon,-20.4189,57.6953,23.13,94,40,1.03,MU,1698623435
104,reggane,26.7158,0.1714,29.75,15,57,2.98,DZ,1698623733
105,cooper's town,26.8667,-77.5167,25.83,70,1,9.6,BS,1698623736
106,waitangi,-43.9535,-176.5597,10.94,77,2,3.37,NZ,1698623738
107,paita,-5.0892,-81.1144,21.03,78,100,8.93,PE,1698623741
108,aqadyr,48.2553,72.8483,9.22,88,100,7.47,KZ,1698623743
